EventDataID,EventID,ContentID,CustomerID,EventTypeID,EventDate,Quantity,InsertDate
3657696842,2761925307,1410033097,1237424330,6,2022-09-26,4,2022-03-17
3842383031,2622075693,1575804888,2548108431,1,2022-11-21,8,2023-04-09
4096326656,3953962844,2698582859,797782388,1,2022-07-26,3,2023-05-16
2329968555,3158889193,1533852784,3735892107,6,2022-03-28,9,2023-09-01
2111221994,1709299509,1549854095,2312139917,1,2022-12-13,4,2023-06-10
1868118740,622762238,1468245405,1871534877,2,2023-01-08,7,2022-02-17
796201854,1155892562,3367887545,3605561229,1,2023-02-06,2,2023-08-22
3457886514,3508785690,4248193798,2764482113,6,2023-08-29,1,2023-08-14
3723398822,358745387,3025537805,795517452,2,2023-08-11,1,2022-10-12
361606252,2400319660,1403013064,1173910807,6,2022-12-01,2,2023-06-16
2899831266,2816645614,319791070,416190263,2,2023-09-10,8,2023-07-20
2875071025,3975378920,4152879313,3783136360,6,2023-06-09,7,2022-07-14
1096137997,2216352459,3979421566,1492773634,6,2023-03-01,6,2022-04-10
1377024073,1770142458,2000983915,3554321074,3,2022-08-15,5,2023-03-22
2807922620,375624066,2632515738,3781441510,2,2022-04-27,6,2022-10-26
2569916117,1387138375,741149022,947614626,5,2022-05-29,4,2022-09-06
3780152735,2896767852,2386223241,630406814,5,2022-08-15,4,2023-01-18
900753115,3545393865,3107755218,119018178,1,2023-09-08,10,2022-05-12
607485044,3274865622,848232570,1785347879,6,2022-11-18,1,2022-08-25
4276280464,810786599,3345142791,184745482,3,2022-09-22,8,2023-06-21
4279747351,2303496644,320437030,4093626373,5,2022-06-29,7,2022-09-06
442905402,2394560743,1527308299,1944516786,2,2023-08-15,8,2022-08-17
1431419092,1854860352,1937336170,1861370304,4,2022-05-03,5,2022-06-23
4197318749,447092580,2246154299,17628709,1,2022-05-07,1,2022-09-14
1603518868,1925844576,1819984110,104034090,6,2022-03-23,6,2022-08-10
3581038804,105245320,2708035108,4205410754,4,2022-03-23,3,2022-12-13
2324639231,1655265098,116907155,206924644,5,2022-04-14,7,2022-05-11
960120564,3105341183,1639194183,2635222784,6,2023-03-29,5,2022-05-01
4197874862,1835641085,993235818,3030264657,3,2023-04-07,2,2022-06-25
119500141,862793660,1326673735,1656097016,6,2022-11-03,9,2023-06-25
2759714032,2125711785,3067156401,4239629693,6,2022-04-20,6,2022-08-30
2665337866,582690266,603916730,4264450384,5,2023-03-22,8,2022-08-15
1499737597,1525113797,121236298,3771839276,2,2023-01-13,9,2023-04-19
668718489,2080551087,1130223242,4283697386,1,2022-06-05,2,2023-01-02
3546519729,3297510580,3735314056,587365749,2,2022-03-29,8,2023-01-16
1546461644,1327436149,1757168807,3484933015,5,2022-02-10,1,2022-01-30
3019058868,4030269198,1147905250,1782627165,2,2022-10-17,8,2022-07-12
913566587,2798636009,372018772,355073381,5,2023-03-18,6,2023-05-06
3373768969,959495968,1397963913,548699023,6,2022-08-25,7,2023-07-28
2816656827,1219729716,2725758044,3667618575,5,2022-08-02,8,2022-08-04
1104179486,2302178175,3078706043,2792118618,5,2022-08-06,5,2022-04-07
1271615516,1616297041,2009442175,654536839,2,2022-04-16,4,2023-04-07
3606845275,1586742914,4004988820,2962277096,6,2023-03-28,1,2022-08-22
1264197114,4168097480,1934554486,4199568268,6,2023-06-10,7,2022-10-31
4033478622,3844086518,3267828627,451591866,1,2022-11-29,10,2023-03-27
2712827344,370772350,775896742,4068894872,2,2022-04-20,5,2022-12-12
4202863910,3133847040,3620531632,1556706313,2,2022-02-11,5,2022-05-24
2416514580,2647732604,208407163,3316847074,1,2022-07-19,8,2022-07-22
944539009,2273338664,2709966859,807495182,3,2023-08-10,9,2022-09-25
154581915,1936142304,1348311321,2371520178,5,2022-09-27,9,2022-09-04
3821224091,2104103485,372018772,3900816437,3,2022-08-08,7,2023-07-14
3696187810,1360232205,1397963913,985021363,6,2022-07-22,5,2023-06-12
2451843470,2551238766,3345142791,3708035023,1,2023-01-07,10,2023-07-17
2657073926,379406035,1575804888,147336937,4,2023-01-19,10,2023-02-25
1897417725,2973923572,1410033097,1826933024,2,2022-05-02,8,2022-10-24
1684270428,2368296697,2698582859,1623852546,1,2022-03-14,6,2022-10-23
1020412359,3207558410,1549854095,442641724,1,2022-01-23,7,2022-09-30
121143969,1281835109,1468245405,4164980623,3,2023-04-22,1,2023-08-19
1540076340,1695592086,2009442175,3215097654,5,2022-07-02,8,2023-07-26
1168490806,3953635983,1639194183,1564203669,2,2023-02-24,10,2023-07-08
3114724269,1986652380,2246154299,3587781023,1,2023-02-10,5,2023-09-05
2561652057,2281807554,993235818,693200618,2,2022-03-22,2,2023-04-21
