CustomerID,ClientCustomerID,InsertDate
985021363,152044364,2023-07-07
634676415,3396944235,2022-07-01
1623082680,424896281,2023-01-25
2635222784,2576962503,2023-03-10
1656097016,637422499,2022-09-17
2312139917,2411300597,2022-05-28
2792118618,1672125407,2023-02-01
451591866,1226861259,2022-08-03
442641724,379654746,2022-09-04
119018178,3184873488,2023-06-02
3554321074,958284983,2023-07-04
3785012349,2512722387,2022-07-14
1173910807,3155125057,2022-10-01
1782627165,3170723160,2023-03-06
58763252,1509019952,2023-02-04
3215097654,1746293439,2023-06-19
1871534877,1087219120,2023-07-19
548699023,1480462498,2022-11-15
1491250973,2600793643,2023-01-24
2371520178,1743155785,2022-04-06
17628709,3378870690,2022-05-02
330127289,365435205,2022-08-11
3236360684,2284661115,2022-05-08
4068894872,4265509784,2023-08-28
947614626,969997152,2022-11-27
2524164501,2892658373,2022-08-31
1740021201,4284756158,2022-05-31
1785347879,327182136,2022-06-15
3030264657,2601748217,2022-05-18
1492773634,3301727994,2023-02-08
1278217312,3066418594,2023-03-31
1364726777,2621334270,2023-02-24
1556706313,1260130071,2022-09-21
184745482,3023843294,2022-12-13
4205410754,368713238,2022-08-08
3316847074,1680063236,2023-05-12
3484933015,3636789846,2023-06-24
2282770637,481997375,2023-08-17
807495182,2557842123,2022-07-10
3735892107,1551697251,2022-12-09
2794476931,1815694958,2023-01-12
206924644,118587787,2022-07-28
355073381,3398416208,2022-08-09
1944516786,2260237066,2022-05-18
3781441510,1290785277,2022-05-20
2548108431,1174982779,2022-09-30
1623852546,2182548294,2022-04-02
3783136360,2901371451,2022-06-07
1237424330,3371105411,2023-07-14
795517452,1995315530,2023-01-26
2764482113,254781861,2022-07-03
654536839,3451376715,2022-04-15
104034090,1964647345,2023-08-19
3587781023,4267162317,2022-04-27
4283697386,4219246026,2023-04-29
3354210625,601956865,2023-05-01
3130831435,1278355748,2023-05-22
416190263,1755029780,2022-10-28
2805864242,2645392253,2022-03-18
1601758565,3668496821,2023-01-30
3667618575,1684004849,2023-05-12
3306544638,944151047,2023-07-26
3900816437,1693407075,2023-03-14
3305917971,1172441256,2023-02-01
4239629693,346041605,2022-09-16
4093626373,2152862290,2023-02-19
3074361417,3734069570,2023-05-16
3882682291,415231626,2022-07-08
4269635854,735440829,2022-06-04
2367984748,4266518191,2023-01-14
797782388,670747217,2023-06-20
1564203669,3648367531,2023-01-04
2345817293,1012601644,2023-05-30
147336937,987879940,2022-11-05
48283740,1101250349,2022-03-30
1840333906,1376260265,2023-09-06
1397006661,3255494883,2023-05-18
726987033,1108788050,2022-05-11
3708035023,2973634504,2022-04-23
1009563676,4070320661,2023-01-21
4264450384,412004331,2022-05-05
4164980623,3503389828,2022-09-20
3605561229,2621948695,2022-08-11
1826933024,1568595886,2022-10-24
2651573213,537780013,2022-04-10
2660450269,1795190068,2022-11-13
4199568268,2170863544,2023-04-15
693200618,72798905,2022-12-30
1861370304,2342038386,2022-04-25
4086599620,138853526,2022-09-13
3099049176,230456332,2022-08-07
2962277096,3811768529,2023-02-07
3779017061,2454593123,2022-12-22
3771839276,2538331947,2022-11-23
1504465705,1355783211,2022-08-29
3663582441,3006302350,2022-09-04
630406814,243951353,2022-12-04
3376616060,2258699226,2022-05-25
587365749,3590046554,2022-07-13
802878909,188232434,2023-04-15
