ContentID,ClientContentID,InsertDate
3078706043,2633927666,2022-10-28
1468245405,3431408166,2022-05-28
1757168807,1438210156,2023-01-11
741149022,467901675,2023-03-28
1639194183,3273716930,2022-07-28
1937336170,105280378,2022-06-18
1527308299,3439340748,2022-02-12
3025537805,574388212,2023-08-30
1147905250,3647458234,2022-11-05
1130223242,134829372,2022-05-16
603916730,551747522,2022-11-10
1403013064,2811710232,2022-07-19
320437030,2406056392,2023-05-26
1549854095,2935563942,2023-01-08
2708035108,1140110678,2022-05-27
4004988820,1739981785,2023-06-23
993235818,587811347,2023-05-07
3107755218,3094049063,2022-03-12
2632515738,2510201584,2022-10-07
1575804888,4043054309,2023-03-02
1410033097,3005749492,2022-07-19
116907155,4200505381,2022-07-23
2386223241,84948513,2023-06-02
1326673735,280077537,2023-07-01
2009442175,3075297797,2023-05-07
848232570,1857913493,2022-04-03
3620531632,1907552234,2022-11-21
319791070,4043922206,2022-09-19
2698582859,1455280221,2023-07-19
4248193798,1967697667,2023-08-17
2725758044,1859943824,2023-07-26
2000983915,2315375218,2022-08-09
1934554486,205089463,2023-03-04
372018772,4191314703,2022-10-20
2246154299,1712194498,2023-08-11
3267828627,23432059,2022-06-02
1533852784,896308834,2022-02-24
3067156401,1718944195,2023-01-04
775896742,1623319120,2022-10-31
3367887545,3412559036,2023-07-26
2709966859,4103345132,2022-12-04
1348311321,1036338327,2022-12-02
121236298,2418454438,2023-09-01
4152879313,1237779831,2022-06-29
208407163,2143539713,2022-12-26
3979421566,940297274,2023-06-07
3345142791,2018076348,2022-09-20
1397963913,3503783442,2022-05-22
1819984110,2293370657,2022-11-21
3735314056,3585910726,2022-04-13
